iteration,Model,group_name,recommendation_exposure,profile_share
1,Popularity,Europe wide,0.0995590735581351,0.19439136959898
1,Popularity,Non-English,0.0,0.027569653397866437
1,Popularity,Long-tail 20,0.0,0.0
1,Popularity,Spain-origin,0.0,0.003918599609805359
1,Popularity,Spanish-language,0.04059342517318344,0.02198137102685736
2,Popularity,Europe wide,0.10005097012947096,0.19141238523383405
2,Popularity,Non-English,0.0,0.02678443038736278
2,Popularity,Long-tail 20,0.0,0.0
2,Popularity,Spain-origin,0.0,0.0038267539566441237
2,Popularity,Spanish-language,0.04048365917534738,0.02325697146652912
3,Popularity,Europe wide,0.10419008922515864,0.18987204243283115
3,Popularity,Non-English,0.0,0.026076584093775296
3,Popularity,Long-tail 20,0.0,0.0
3,Popularity,Spain-origin,0.0,0.003743166319480464
3,Popularity,Spanish-language,0.03806094870355971,0.02524047543995169
4,Popularity,Europe wide,0.10884711139313892,0.1880490369191768
4,Popularity,Non-English,0.0,0.025431715147468465
4,Popularity,Long-tail 20,0.0,0.0
4,Popularity,Spain-origin,0.0,0.0036665180631729544
4,Popularity,Spanish-language,0.035578681863424236,0.02647770978527602
5,Popularity,Europe wide,0.11541388573646888,0.18537218949064527
5,Popularity,Non-English,0.00017965717304622118,0.024839310437321457
5,Popularity,Long-tail 20,0.0,0.0
5,Popularity,Spain-origin,0.0,0.0035957757893800815
5,Popularity,Spanish-language,0.032906420597248943,0.027052853666950063
6,Popularity,Europe wide,0.12316645123408215,0.18244272575068693
6,Popularity,Non-English,0.0001825831698198722,0.02429141741317444
6,Popularity,Long-tail 20,0.0,0.0
6,Popularity,Spain-origin,0.0,0.00353011627451254
6,Popularity,Spanish-language,0.028757505371135385,0.027555435547886573
7,Popularity,Europe wide,0.12558188288459193,0.18058010848452083
7,Popularity,Non-English,0.00018576384102618606,0.023781847742772953
7,Popularity,Long-tail 20,0.0,0.0
7,Popularity,Spain-origin,0.0,0.003468874184004844
7,Popularity,Spanish-language,0.028352040477980293,0.02760245462281205
8,Popularity,Europe wide,0.12970556847268344,0.178909486991872
8,Popularity,Non-English,0.00036889590780167953,0.023305673768557713
8,Popularity,Long-tail 20,0.0,0.0
8,Popularity,Spain-origin,0.0,0.003411504842570324
8,Popularity,Spanish-language,0.025884825763818196,0.02791387753752429
9,Popularity,Europe wide,0.133302533552933,0.17708632539082864
9,Popularity,Non-English,0.00037563968481358647,0.022858896273706866
9,Popularity,Long-tail 20,0.0,0.0
9,Popularity,Spain-origin,0.0,0.0033575572028305104
9,Popularity,Spanish-language,0.026663111312651477,0.027344874635844292
10,Popularity,Europe wide,0.13659712614548145,0.17618927884737046
10,Popularity,Non-English,0.00038304167385071013,0.02243821730692847
10,Popularity,Long-tail 20,0.0,0.0
10,Popularity,Spain-origin,0.0,0.003306653873416986
10,Popularity,Spanish-language,0.026624241304859023,0.027146017699053882
1,SVD,Europe wide,0.1833556584203497,0.19439136959898
1,SVD,Non-English,0.018826902674409857,0.027569653397866437
1,SVD,Long-tail 20,0.0,0.0
1,SVD,Spain-origin,0.0024259777008767023,0.003918599609805359
1,SVD,Spanish-language,0.018487488872336602,0.02198137102685736
2,SVD,Europe wide,0.1840817282052154,0.19492460980736728
2,SVD,Non-English,0.018535466558249815,0.027069791528898622
2,SVD,Long-tail 20,0.0,0.0
2,SVD,Spain-origin,0.0024941183876463504,0.0038267539566441237
2,SVD,Spanish-language,0.01709519203310129,0.021840415425959374
3,SVD,Europe wide,0.187198387303773,0.1943514900138656
3,SVD,Non-English,0.01944182051961163,0.026858305156358193
3,SVD,Long-tail 20,0.0,0.0
3,SVD,Spain-origin,0.002282757526428437,0.004103743242557387
3,SVD,Spanish-language,0.018044235086281574,0.021552268270765854
4,SVD,Europe wide,0.18900728854560783,0.1932306600235136
4,SVD,Non-English,0.020444678951844007,0.02621840998673266
4,SVD,Long-tail 20,0.0,0.0
4,SVD,Spain-origin,0.002358842933255182,0.004006638123987049
4,SVD,Spanish-language,0.01977378407632054,0.020946292687445005
5,SVD,Europe wide,0.19151707824313044,0.1919012921511772
5,SVD,Non-English,0.02177727156035743,0.026735119903454677
5,SVD,Long-tail 20,0.0,0.0
5,SVD,Spain-origin,0.002811850911495688,0.00391770856745321
5,SVD,Spanish-language,0.02120792278747449,0.020683331408868872
6,SVD,Europe wide,0.19161570129259722,0.19212698090103356
6,SVD,Non-English,0.02233055634397083,0.026154659466117804
6,SVD,Long-tail 20,0.0,0.0
6,SVD,Spain-origin,0.0029311937101190897,0.0038357730178027473
6,SVD,Spanish-language,0.021118998714798595,0.02032054560461774
7,SVD,Europe wide,0.19372195022562447,0.19095101588261004
7,SVD,Non-English,0.023202403160181805,0.02564973176249989
7,SVD,Long-tail 20,0.0,0.0
7,SVD,Spain-origin,0.003006232495995758,0.0037598794750101357
7,SVD,Spanish-language,0.02107215230919768,0.02032552865014029
8,SVD,Europe wide,0.19325452370543764,0.19063463882892784
8,SVD,Non-English,0.023523213258529366,0.025231444874761033
8,SVD,Long-tail 20,0.0,0.0
8,SVD,Spain-origin,0.0031929579248726352,0.003689251201076777
8,SVD,Spanish-language,0.01952963607964653,0.020840552844876594
9,SVD,Europe wide,0.1914972896591422,0.19096909855059105
9,SVD,Non-English,0.024105310416746704,0.02489359136115968
9,SVD,Long-tail 20,0.0,0.0
9,SVD,Spain-origin,0.0029709299043428803,0.0037694461093564836
9,SVD,Spanish-language,0.01985191316581978,0.020896888895119006
10,SVD,Europe wide,0.19123954317039238,0.19113812500718283
10,SVD,Non-English,0.025063174242017056,0.024949432352657782
10,SVD,Long-tail 20,0.0,0.0
10,SVD,Spain-origin,0.003508403812605504,0.0037037836106638983
10,SVD,Spanish-language,0.01811551896552906,0.021352716805435705
1,Hybrid,Europe wide,0.1825813879708917,0.19439136959898
1,Hybrid,Non-English,0.010931802841727541,0.027569653397866437
1,Hybrid,Long-tail 20,0.0,0.0
1,Hybrid,Spain-origin,0.001264554956075599,0.003918599609805359
1,Hybrid,Spanish-language,0.02186418396799004,0.02198137102685736
2,Hybrid,Europe wide,0.1800375467331972,0.19529266599627854
2,Hybrid,Non-English,0.011214179816085914,0.027239511463042446
2,Hybrid,Long-tail 20,0.0,0.0
2,Hybrid,Spain-origin,0.00107820854885584,0.0039277640576542245
2,Hybrid,Spanish-language,0.022579016963020546,0.021482671318215265
3,Hybrid,Europe wide,0.18533566125357778,0.19432017223149345
3,Hybrid,Non-English,0.012042285106237734,0.02654974008330212
3,Hybrid,Long-tail 20,0.0,0.0
3,Hybrid,Spain-origin,0.0011041038869827567,0.0038423726686868135
3,Hybrid,Spanish-language,0.023363357764587308,0.021024560471584738
4,Hybrid,Europe wide,0.1887813521805002,0.19315619009389262
4,Hybrid,Non-English,0.012928788980489776,0.026160165010575297
4,Hybrid,Long-tail 20,0.0,0.0
4,Hybrid,Spain-origin,0.0011487342164416068,0.0037639839501125254
4,Hybrid,Spanish-language,0.024180457807774166,0.021223033538270056
5,Hybrid,Europe wide,0.18806048620538426,0.19238870246506334
5,Hybrid,Non-English,0.012234724252836508,0.026337455705884145
5,Hybrid,Long-tail 20,0.0,0.0
5,Hybrid,Spain-origin,0.000922592063704035,0.00400020320530175
5,Hybrid,Spanish-language,0.02301272910523637,0.021436179087563113
6,Hybrid,Europe wide,0.18885439639671478,0.1917275126399261
6,Hybrid,Non-English,0.011842096731442446,0.025785432803900533
6,Hybrid,Long-tail 20,0.0,0.0
6,Hybrid,Spain-origin,0.0009687262911474827,0.003916675893899992
6,Hybrid,Spanish-language,0.02456354141446105,0.021101120084504155
7,Hybrid,Europe wide,0.19184486858183464,0.1912637024938466
7,Hybrid,Non-English,0.011434808875674869,0.02550749911747381
7,Hybrid,Long-tail 20,0.0,0.0
7,Hybrid,Spain-origin,0.0009807028222467967,0.0038392445543752145
7,Hybrid,Spanish-language,0.026599629338649,0.02063718503724339
8,Hybrid,Europe wide,0.1969292479787367,0.1906308746160616
8,Hybrid,Non-English,0.011976619972576121,0.024975790378279183
8,Hybrid,Long-tail 20,0.0,0.0
8,Hybrid,Spain-origin,0.0010290227393963043,0.0037671297883592036
8,Hybrid,Spanish-language,0.025947412783031837,0.0206040083028077
9,Hybrid,Europe wide,0.19802126481667648,0.19076044495505798
9,Hybrid,Non-English,0.013854224382686854,0.024580426926202145
9,Hybrid,Long-tail 20,0.0,0.0
9,Hybrid,Spain-origin,0.0014043116669451184,0.0036996881901227878
9,Hybrid,Spanish-language,0.025626917163726077,0.020451213779277794
10,Hybrid,Europe wide,0.19876102627619907,0.18945608319842044
10,Hybrid,Non-English,0.014165272632415368,0.02428613960487734
10,Hybrid,Long-tail 20,0.0,0.0
10,Hybrid,Spain-origin,0.0012250639768039498,0.0038125033647737235
10,Hybrid,Spanish-language,0.025949838553462466,0.020487998789465157
