group_name,mean_exposure,mean_pacpg,worst_pacpg,best_exposure,history_share,relevant_test_share,support_users,support_catalogue_items,support_train_interactions,support_test_interactions,visibility_target,mean_gap_vs_target,best_exposure_model,best_model_exposure_at_20,weakest_pacpg_model,weakest_model_pacpg_at_20,catalogue_share,train_interaction_share,european_region,problem_type,top_genres,top_genre_movie_counts,gap_pp,mean_exposure_pct,catalogue_share_pct,train_interaction_share_pct
France,0.0296742998318664,-0.0172121902107928,-0.0461168425270892,0.0793329113104814,0.0431414277746928,0.0468864900426592,145,1820,797730,98882,0.0468864900426592,-0.0172121902107928,MPNet-content,0.0793329113104814,Popularity,-0.0461168425270892,0.0377670873944427,0.0252456684367983,France,underexposed relative to target,Drama | Comedy | Romance,1263 | 446 | 346,-1.72121902107928,2.96742998318664,3.77670873944427,2.52456684367983
Spain,0.0014107799518251,-0.0049073389970629,-0.006318118948888,0.0030160898262029,0.0037052399984905,0.006318118948888,28,390,115625,14171,0.006318118948888,-0.0049073389970629,MPNet-content,0.0030160898262029,Popularity,-0.006318118948888,0.00811379390949,0.0037315063041206,Spain/Portugal,near target or low-support signal,Drama | Comedy | Thriller,230 | 99 | 97,-0.49073389970629,0.14107799518251002,0.811379390949,0.37315063041206004
Germany,0.0282197074621587,-0.0040670606377504,-0.0258956507516024,0.0515677827950866,0.0322867680999091,0.0311642938366323,111,1038,682445,85509,0.0322867680999091,-0.0040670606377504,MPNet-content,0.0515677827950866,Popularity,-0.0258956507516024,0.0187197302009604,0.0192512061203849,Germany/Austria/Switzerland,near target or low-support signal,Drama | Comedy | Thriller,627 | 235 | 223,-0.40670606377504004,2.82197074621587,1.87197302009604,1.92512061203849
Poland,8.286035599273395e-05,-0.0032698340874583,-0.003352694443451,0.0004971621359564,0.0019503540679978,0.003352694443451,13,76,31766,3960,0.003352694443451,-0.0032698340874583,SVD,0.0004971621359564,Popularity,-0.003352694443451,0.0018127987319277,0.0006272041649424,Central Europe,near-invisible despite target signal,Drama | Comedy | Mystery,57 | 19 | 10,-0.32698340874583,0.008286035599273395,0.18127987319277,0.06272041649424
Netherlands,4.7799029466319576e-05,-0.002348347921635,-0.0023961469511013,0.0001877415091583,0.0009476476651355,0.0023961469511013,17,124,36626,4628,0.0023961469511013,-0.002348347921635,SVD,0.0001877415091583,Popularity,-0.0023961469511013,0.0025012268893785,0.0007573912510243,Benelux,near-invisible despite target signal,Drama | Comedy | Thriller,83 | 27 | 20,-0.23483479216349998,0.004779902946631958,0.25012268893785,0.07573912510243
Switzerland,0.0003486828154844,-0.002009717597434,-0.0023584004129184,0.0020920968929064,0.0014657561340548,0.0023584004129184,14,95,35282,4459,0.0023584004129184,-0.002009717597434,CLIP-image-content,0.0020920968929064,Popularity,-0.0023584004129184,0.0013143331971691,0.0007565348281248,Germany/Austria/Switzerland,near-invisible despite target signal,Drama | Romance | Comedy,71 | 16 | 15,-0.2009717597434,0.03486828154844,0.13143331971691,0.07565348281248
Sweden,4.131976354994478e-05,-0.0017225975541022,-0.0017639173176521,0.0002479185812996,0.0009651208898595,0.0017639173176521,12,218,44720,5581,0.0017639173176521,-0.0017225975541022,SVD,0.0002479185812996,Popularity,-0.0017639173176521,0.0050297195289496,0.0015737666437565,Nordics,near-invisible despite target signal,Drama | Comedy | Thriller,147 | 45 | 36,-0.17225975541022,0.004131976354994478,0.50297195289496,0.15737666437565
Austria,0.0002153719616687,-0.0016903857417159,-0.0019057577033846,0.0012922317700125,0.0019057577033846,0.0018624158226301,12,77,23470,2877,0.0019057577033846,-0.0016903857417159,SVD,0.0012922317700125,Popularity,-0.0019057577033846,0.0013973235015833,0.0005623409063305,Germany/Austria/Switzerland,near-invisible despite target signal,Drama | Comedy | Documentary,50 | 15 | 15,-0.16903857417159002,0.021537196166870002,0.13973235015833002,0.056234090633049995
Norway,0.0002551245337211,-0.0008560516571991,-0.0011111761909202,0.0010389928882032,0.0008582305041414,0.0011111761909202,9,85,21350,2614,0.0011111761909202,-0.0008560516571991,Hybrid,0.0010389928882032,Popularity,-0.0011111761909202,0.0016447035949932,0.0005312189460005,Nordics,near-invisible despite target signal,Drama | Action | Comedy,55 | 20 | 18,-0.08560516571991,0.02551245337211,0.16447035949932,0.05312189460005
Denmark,0.0,-0.0008127764446363,-0.0008127764446363,0.0,0.0004835339790137,0.0008127764446363,7,167,30758,3825,0.0008127764446363,-0.0008127764446363,Popularity,0.0,Popularity,-0.0008127764446363,0.0031858881723241,0.0006710468562078,Nordics,near target or low-support signal,Drama | Thriller | Comedy,113 | 36 | 35,-0.08127764446362999,0.0,0.31858881723241,0.06710468562078
Russia,0.0,-0.0005836442968795,-0.0005836442968795,0.0,5.2828665408969566e-05,0.0005836442968795,4,76,10796,1350,0.0005836442968795,-0.0005836442968795,Popularity,0.0,Popularity,-0.0005836442968795,0.0020169751308397,0.0003462038072917,Eastern Europe,near target or low-support signal,Drama | Comedy | Action,53 | 15 | 10,-0.05836442968795,0.0,0.20169751308397,0.03462038072917
Unknown country,0.0,-0.0001558485374274,-0.0001558485374274,0.0,4.484998322688324e-05,0.0001558485374274,4,8599,7408,949,0.0001558485374274,-0.0001558485374274,Popularity,0.0,Popularity,-0.0001558485374274,0.3152357210939218,0.0004931311779524,Unknown / not mapped,near target or low-support signal,,,-0.015584853742739999,0.0,31.523572109392177,0.04931311779524
Finland,0.0,-7.817709390426266e-05,-7.817709390426266e-05,0.0,7.817709390426266e-05,0.0,0,129,10329,1235,7.817709390426266e-05,-7.817709390426266e-05,Popularity,0.0,Popularity,-7.817709390426266e-05,0.0034856516466238,0.0002763167590363,Nordics,near target or low-support signal,Drama | Comedy | Documentary,73 | 42 | 23,-0.007817709390426265,0.0,0.34856516466237997,0.02763167590363
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0,61,3078,388,0.0,0.0,Popularity,0.0,Popularity,0.0,0.0012974436053474,0.0001001844670956,Eastern Europe,near target or low-support signal,Drama | Comedy | Horror,38 | 20 | 11,0.0,0.0,0.12974436053474,0.01001844670956
Belgium,0.0023777964267337,0.000456136701855,-0.0019216597248786,0.0096804012005044,0.0019216597248786,0.0014573064013562,9,180,30003,3819,0.0019216597248786,0.000456136701855,CLIP-image-content,0.0096804012005044,Popularity,-0.0019216597248786,0.0027601433564114,0.0006895328704224,Benelux,near target or low-support signal,Drama | Comedy | Romance,121 | 46 | 27,0.0456136701855,0.23777964267337,0.27601433564114,0.06895328704224
Italy,0.0239619628235648,0.0019902665625086,-0.0199726872891845,0.0710966856252426,0.0202647297755755,0.0219716962610561,81,804,320173,39914,0.0219716962610561,0.0019902665625086,CLIP-image-content,0.0710966856252426,ItemKNN,-0.0199726872891845,0.0165102777321415,0.0092344253124218,Italy/Malta,near target or low-support signal,Drama | Comedy | Thriller,495 | 189 | 127,0.19902665625086002,2.3961962823564797,1.65102777321415,0.9234425312421799
Ireland,0.0061770582738535,0.002318349721209,-0.0038587085526444,0.0210734298620408,0.0038587085526444,0.0025874561111187,19,129,78690,9851,0.0038587085526444,0.002318349721209,CLIP-image-content,0.0210734298620408,Popularity,-0.0038587085526444,0.0023712026785932,0.0019229916997573,UK/Ireland,near target or low-support signal,Drama | Comedy | Thriller,80 | 43 | 21,0.2318349721209,0.61770582738535,0.23712026785932,0.19229916997573002
United Kingdom,0.1380399880897134,0.0039546530744555,-0.0564902788389362,0.2990662465961635,0.1340853350152578,0.1271008472470292,231,2480,2135271,265749,0.1340853350152578,0.0039546530744555,CLIP-image-content,0.2990662465961635,Popularity,-0.0564902788389362,0.0594260468210171,0.0749817999243968,UK/Ireland,near target or low-support signal,Drama | Comedy | Thriller,1386 | 628 | 524,0.39546530744555,13.80399880897134,5.94260468210171,7.498179992439679
