movieId,title,top_tags,top_genome_tags,theme_text,religion_theme_proxy
36,Dead Man Walking (1995),death penalty | true story | nun | prison | sean penn | religion | susan sarandon | christianity,death penalty | death | crime | oscar (best actress) | murder,death penalty | true story | nun | prison | sean penn | religion | susan sarandon | christianity | death penalty | death | crime | oscar (best actress) | murder,True
49,When Night Is Falling (1995),lesbian | nudity (topless - notable) | gay | religion | patricia rozema | circus | own | nudity (topless),lesbian | love story | love | nudity (topless - notable) | beautifully filmed,lesbian | nudity (topless - notable) | gay | religion | patricia rozema | circus | own | nudity (topless) | lesbian | love story | love | nudity (topless - notable) | beautifully filmed,True
73,"Misérables, Les (1995)",world war ii | foreign language | opera | jewish | lawyer | adapted from:book | author:victor hugo | claude lelouch,adapted from:book | world war ii | beautifully filmed | jews | story,world war ii | foreign language | opera | jewish | lawyer | adapted from:book | author:victor hugo | claude lelouch | adapted from:book | world war ii | beautifully filmed | jews | story,True
121,"Boys of St. Vincent, The (1992)",child abuse | sexual abuse | based on a true story | cover up | true story | religion | police corruption | orphans,child abuse | disturbing | corruption | pornography | true story,child abuse | sexual abuse | based on a true story | cover up | true story | religion | police corruption | orphans | child abuse | disturbing | corruption | pornography | true story,True
147,"Basketball Diaries, The (1995)",leonardo dicaprio | drugs | based on a true story | addiction | escape | true story | catholicism | heroin,drug abuse | drug addiction | drugs | addiction | heroin,leonardo dicaprio | drugs | based on a true story | addiction | escape | true story | catholicism | heroin | drug abuse | drug addiction | drugs | addiction | heroin,True
188,"Prophecy, The (1995)",christopher walken | viggo mortensen | christianity | religion | slashy | best devil ever | jonossa | angel,god | religion | devil | christianity | dark fantasy,christopher walken | viggo mortensen | christianity | religion | slashy | best devil ever | jonossa | angel | god | religion | devil | christianity | dark fantasy,True
261,Little Women (1994),louisa may alcott | based on a book | winona ryder | adapted from:book | christian bale | kirsten dunst | chick flick | litterature adaptation,adapted from:book | family bonds | girlie movie | literature | costume drama,louisa may alcott | based on a book | winona ryder | adapted from:book | christian bale | kirsten dunst | chick flick | litterature adaptation | adapted from:book | family bonds | girlie movie | literature | costume drama,True
280,Murder in the First (1995),prison | alcatraz | christian slater | corruption | kevin bacon | gary oldman | courtroom setting | marc rocco,alcatraz | lawyers | prison | based on true story | corruption,prison | alcatraz | christian slater | corruption | kevin bacon | gary oldman | courtroom setting | marc rocco | alcatraz | lawyers | prison | based on true story | corruption,True
299,Priest (1994),gay | religion | queer | homosexuality | catholicism | christianity | robert carlyle | priest,catholicism | sexual abuse | homosexuality | gay | queer,gay | religion | queer | homosexuality | catholicism | christianity | robert carlyle | priest | catholicism | sexual abuse | homosexuality | gay | queer,True
302,"Queen Margot (Reine Margot, La) (1994)",16th century | history | massacre | nudity (full frontal) | netflix | religion | france | christianity,france | history | french | historical | costume drama,16th century | history | massacre | nudity (full frontal) | netflix | religion | france | christianity | france | history | french | historical | costume drama,True
394,Coldblooded (1995),underrated | jason priestley | less than 300 ratings,dark humor | violence | violent | cult classic | original,underrated | jason priestley | less than 300 ratings | dark humor | violence | violent | cult classic | original,True
555,True Romance (1993),violent | ensemble cast | violence | christian slater | christopher walken | patricia arquette | quentin tarantino | romance,highly quotable | violence | violent | ensemble cast | gratuitous violence,violent | ensemble cast | violence | christian slater | christopher walken | patricia arquette | quentin tarantino | romance | highly quotable | violence | violent | ensemble cast | gratuitous violence,True
718,"Visitors, The (Visiteurs, Les) (1993)",jean reno | middle ages | christian clavier | comedy | french film | jean-marie poiré | french,france | french | comedy | medieval | culture clash,jean reno | middle ages | christian clavier | comedy | french film | jean-marie poiré | french | france | french | comedy | medieval | culture clash,True
789,"I, the Worst of All (Yo, la peor de todas) (1990)",17th century | biopics | lesbian | writers at work | biography | catholicism | christianity | latin america,spanish | women | lesbian | pornography | writers,17th century | biopics | lesbian | writers at work | biography | catholicism | christianity | latin america | spanish | women | lesbian | pornography | writers,True
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",yale strom | musicians,musicians | poland | holocaust | music | judaism,yale strom | musicians | musicians | poland | holocaust | music | judaism,True
816,Two Deaths (1995),,enigmatic | dialogue driven | original | judaism | photography, | enigmatic | dialogue driven | original | judaism | photography,True
917,"Little Princess, The (1939)",shirley temple | walter lang | bd-r | betamax | might like,based on a book | boarding school | childhood | classic | rags to riches,shirley temple | walter lang | bd-r | betamax | might like | based on a book | boarding school | childhood | classic | rags to riches,True
1027,Robin Hood: Prince of Thieves (1991),kevin costner | alan rickman | medieval | robin hood | sword fight | morgan freeman | christian slater | funny,adventure | medieval | sword fight | good | swashbuckler,kevin costner | alan rickman | medieval | robin hood | sword fight | morgan freeman | christian slater | funny | adventure | medieval | sword fight | good | swashbuckler,True
1032,Alice in Wonderland (1951),surreal | disney | dreamlike | fairy tale | surrealism | based on a book | lewis carroll | adapted from:book,disney animated feature | animation | cartoon | adapted from:book | rabbits,surreal | disney | dreamlike | fairy tale | surrealism | based on a book | lewis carroll | adapted from:book | disney animated feature | animation | cartoon | adapted from:book | rabbits,True
1037,"Lawnmower Man, The (1992)",cyberpunk | alternate reality | nudity (topless) | virtual reality | experiments gone awry | priest | science | sexuality,virtual reality | technology | futuristic | special effects | scifi,cyberpunk | alternate reality | nudity (topless) | virtual reality | experiments gone awry | priest | science | sexuality | virtual reality | technology | futuristic | special effects | scifi,True
1080,Monty Python's Life of Brian (1979),monty python | satire | british | parody | religion | hilarious | controversial | terry gilliam,jesus | british comedy | monty python | biblical | comedy,monty python | satire | british | parody | religion | hilarious | controversial | terry gilliam | jesus | british comedy | monty python | biblical | comedy,True
1087,Madame Butterfly (1995),,dramatic | opera | unusual plot structure | catholicism | spanish, | dramatic | opera | unusual plot structure | catholicism | spanish,True
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",death | existentialism | ingmar bergman | atmospheric | dreamlike | religion | medieval | swedish,death | life & death | criterion | meditative | existentialism,death | existentialism | ingmar bergman | atmospheric | dreamlike | religion | medieval | swedish | death | life & death | criterion | meditative | existentialism,True
1268,Pump Up the Volume (1990),censorship | christian slater | rebel | high school | nudity (topless - notable) | pirate radio | 1980s | radio,teen | teen movie | high school | teens | teenager,censorship | christian slater | rebel | high school | nudity (topless - notable) | pirate radio | 1980s | radio | teen | teen movie | high school | teens | teenager,True
1285,Heathers (1989),black comedy | dark comedy | teen movie | high school | winona ryder | serial killer | christian slater | cynical,teen movie | dark humor | high school | teen | teenager,black comedy | dark comedy | teen movie | high school | winona ryder | serial killer | christian slater | cynical | teen movie | dark humor | high school | teen | teenager,True
1287,Ben-Hur (1959),christianity | historical epic | oscar (best picture) | roman empire | rome | charlton heston | long | jesus,oscar (best supporting actor) | 70mm | imdb top 250 | oscar (best directing) | rome,christianity | historical epic | oscar (best picture) | roman empire | rome | charlton heston | long | jesus | oscar (best supporting actor) | 70mm | imdb top 250 | oscar (best directing) | rome,True
1345,Carrie (1976),stephen king | high school | religion | classic | eerie | tense | atmospheric | visceral,horror | adapted from:book | bullying | creepy | high school,stephen king | high school | religion | classic | eerie | tense | atmospheric | visceral | horror | adapted from:book | bullying | creepy | high school,True
1350,"Omen, The (1976)",antichrist | demons | horror | apocalypse | devil | christianity | religion | biblical,horror | devil | supernatural | scary | biblical,antichrist | demons | horror | apocalypse | devil | christianity | religion | biblical | horror | devil | supernatural | scary | biblical,True
1354,Breaking the Waves (1996),lars von trier | disturbing | nudity (full frontal) | male nudity | passionate | religion | nudity (full frontal - notable) | emily watson,love | loneliness | relationships | intimate | heartbreaking,lars von trier | disturbing | nudity (full frontal) | male nudity | passionate | religion | nudity (full frontal - notable) | emily watson | love | loneliness | relationships | intimate | heartbreaking,True
1363,"Preacher's Wife, The (1996)",christmas | courtney b. vance | denzel washington | gregory hines | jenifer lewis | loretta devine | whitney houston | religion,christmas | holiday | remake | original | romantic,christmas | courtney b. vance | denzel washington | gregory hines | jenifer lewis | loretta devine | whitney houston | religion | christmas | holiday | remake | original | romantic,True
1584,Contact (1997),sci-fi | jodie foster | space travel | aliens | religion | space | science | inspirational,space travel | science fiction | space | science | sci-fi,sci-fi | jodie foster | space travel | aliens | religion | space | science | inspirational | space travel | science fiction | space | science | sci-fi,True
1645,"Devil's Advocate, The (1997)",al pacino | keanu reeves | nudity (full frontal) | devil | charlize theron | religion | deal with the devil | surreal,devil | lawyers | lawyer | twist ending | great ending,al pacino | keanu reeves | nudity (full frontal) | devil | charlize theron | religion | deal with the devil | surreal | devil | lawyers | lawyer | twist ending | great ending,True
1685,"I Love You, I Love You Not (1996)",jewish identity | jude law | want to own | disappointing,coming of age | anti-semitism | coming-of-age | holocaust | original,jewish identity | jude law | want to own | disappointing | coming of age | anti-semitism | coming-of-age | holocaust | original,True
1694,"Apostle, The (1997)",religion | jesus | robert duvall | boring | revival | pentecostal | drama | duvall is superb,jesus | christianity | character study | god | religion,religion | jesus | robert duvall | boring | revival | pentecostal | drama | duvall is superb | jesus | christianity | character study | god | religion,True
1727,"Horse Whisperer, The (1998)",robert redford | horses | unfaithfulness | chick flick | horrible | seen at the cinema,horses | chick flick | love story | girlie movie | beautiful scenery,robert redford | horses | unfaithfulness | chick flick | horrible | seen at the cinema | horses | chick flick | love story | girlie movie | beautiful scenery,True
1730,Kundun (1997),colonialism | cinematography | dalai lama | martin scorsese | biography | buddhism | scorcese | tibet,cinematography | amazing cinematography | beautifully filmed | meditative | visual,colonialism | cinematography | dalai lama | martin scorsese | biography | buddhism | scorcese | tibet | cinematography | amazing cinematography | beautifully filmed | meditative | visual,True
1754,Fallen (1998),supernatural | denzel washington | unreliable narrators | religion | john goodman | fallen angel | boring | should've got more attention brilliant,supernatural | twist ending | thriller | great ending | twists & turns,supernatural | denzel washington | unreliable narrators | religion | john goodman | fallen angel | boring | should've got more attention brilliant | supernatural | twist ending | thriller | great ending | twists & turns,True
1814,"Price Above Rubies, A (1998)",,judaism | god | catholicism | jews | religion, | judaism | god | catholicism | jews | religion,True
1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",iran | brother sister relationship | competition | tehran | siblings | realistic | middle east | oscar nominee: foreign language (iran),iran | poverty | islam | children | foreign,iran | brother sister relationship | competition | tehran | siblings | realistic | middle east | oscar nominee: foreign language (iran) | iran | poverty | islam | children | foreign,True
1931,Mutiny on the Bounty (1935),oscar (best picture) | oscar (best directing) | afi 100 | charles laughton | clark gable | afi #86 | ships | christian,oscar (best picture) | historical | oscar (best directing) | history | christian,oscar (best picture) | oscar (best directing) | afi 100 | charles laughton | clark gable | afi #86 | ships | christian | oscar (best picture) | historical | oscar (best directing) | history | christian,True
1937,Going My Way (1944),oscar (best picture) | oscar (best actor) | oscar (best supporting actor) | oscar (best directing) | leo mccarey | barry fitzgerald | bing crosby | priest as protagonist,oscar (best supporting actor) | oscar (best picture) | oscar (best actor) | oscar (best directing) | oscar,oscar (best picture) | oscar (best actor) | oscar (best supporting actor) | oscar (best directing) | leo mccarey | barry fitzgerald | bing crosby | priest as protagonist | oscar (best supporting actor) | oscar (best picture) | oscar (best actor) | oscar (best directing) | oscar,True
1940,Gentleman's Agreement (1947),oscar (best picture) | anti-semitism | oscar (best directing) | gregory peck | judaism | oscar (best supporting actress) | brave | journalism,anti-semitism | oscar (best picture) | jews | judaism | oscar (best directing),oscar (best picture) | anti-semitism | oscar (best directing) | gregory peck | judaism | oscar (best supporting actress) | brave | journalism | anti-semitism | oscar (best picture) | jews | judaism | oscar (best directing),True
1997,"Exorcist, The (1973)",scary | horror | religion | possession | classic | exorcism | controversial | demons,horror | frightening | creepy | demons | scary,scary | horror | religion | possession | classic | exorcism | controversial | demons | horror | frightening | creepy | demons | scary,True
2022,"Last Temptation of Christ, The (1988)",jesus | christian | martin scorsese | based on a book | violence | good soundtrack | bible | christianity,jesus | biblical | god | christianity | controversial,jesus | christian | martin scorsese | based on a book | violence | good soundtrack | bible | christianity | jesus | biblical | god | christianity | controversial,True
2024,"Rapture, The (1991)",christianity | nudity (topless) | btaege | god | clv,god | christianity | religion | biblical | jesus,christianity | nudity (topless) | btaege | god | clv | god | christianity | religion | biblical | jesus,True
2062,"Governess, The (1998)",,amazing photography | obsession | period piece | judaism | original, | amazing photography | obsession | period piece | judaism | original,True
2070,Tender Mercies (1983),oscar (best actor) | faith | religion | robert duvall | spiritual journey | best performance:  robert duvall as mac sledge | bruce beresford | music,oscar (best actor) | character study | redemption | music | great acting,oscar (best actor) | faith | religion | robert duvall | spiritual journey | best performance:  robert duvall as mac sledge | bruce beresford | music | oscar (best actor) | character study | redemption | music | great acting,True
2084,Newsies (1992),christian bale | disney studios | disney | david moscow | gabriel damon | luke edwards | marty belafsky | max casella,dancing | musical | dance | music | great music,christian bale | disney studios | disney | david moscow | gabriel damon | luke edwards | marty belafsky | max casella | dancing | musical | dance | music | great music,True
2099,Song of the South (1946),disney | animation & live action interact (scene) | talking animals | controversial | hard to find | rabbits | bears | musical,cartoon | animals | slavery | disney | stereotypes,disney | animation & live action interact (scene) | talking animals | controversial | hard to find | rabbits | bears | musical | cartoon | animals | slavery | disney | stereotypes,True
2102,Steamboat Willie (1928),surreal | classic cheerful short | national film registry,cartoon | animation | animals | surreal | rabbits,surreal | classic cheerful short | national film registry | cartoon | animation | animals | surreal | rabbits,True
2138,Watership Down (1978),rabbits | violent | based on a book | animation | 2d animation | atmospheric | adapted from:book | life lessons,rabbits | based on a book | adapted from:book | animation | based on book,rabbits | violent | based on a book | animation | 2d animation | atmospheric | adapted from:book | life lessons | rabbits | based on a book | adapted from:book | animation | based on book,True
2141,"American Tail, An (1986)",can't remember | don bluth | amblin | fievel | animated | best jewish movies | cartoon | immigrants,animation | cartoon | animated | family | talking animals,can't remember | don bluth | amblin | fievel | animated | best jewish movies | cartoon | immigrants | animation | cartoon | animated | family | talking animals,True
2155,"Slums of Beverly Hills, The (1998)",coming of age | adolescence is hell | 1970s | class issues | drugs | hollywood | jewish family,coming of age | dysfunctional family | single father | coming-of-age | parenthood,coming of age | adolescence is hell | 1970s | class issues | drugs | hollywood | jewish family | coming of age | dysfunctional family | single father | coming-of-age | parenthood,True
2185,I Confess (1953),alfred hitchcock | hitchcock | bd-r | clv | priest as protagonist | tumey's dvds,hitchcock | police investigation | murder mystery | murder | guilt,alfred hitchcock | hitchcock | bd-r | clv | priest as protagonist | tumey's dvds | hitchcock | police investigation | murder mystery | murder | guilt,True
2235,One Man's Hero (1999),albert grimaldi | history | irish americans | irish catholics | mexico,,albert grimaldi | history | irish americans | irish catholics | mexico | ,True
2263,"Seventh Sign, The (1988)",religion | biblical | christianity | nudity (topless) | clv,biblical | supernatural | end of the world | god | thriller,religion | biblical | christianity | nudity (topless) | clv | biblical | supernatural | end of the world | god | thriller,True
2325,Orgazmo (1997),comedy | pornography | satire | trey parker | mormon | religion | ron jeremy | cult film,comedy | pornography | funny | stupid as hell | male nudity,comedy | pornography | satire | trey parker | mormon | religion | ron jeremy | cult film | comedy | pornography | funny | stupid as hell | male nudity,True
2334,"Siege, The (1998)",terrorism | jihad | torture | golden raspberry (worst actor) | r | prescient | racism | rendition,terrorism | islam | bombs | tom clancy | military,terrorism | jihad | torture | golden raspberry (worst actor) | r | prescient | racism | rendition | terrorism | islam | bombs | tom clancy | military,True
2394,"Prince of Egypt, The (1998)",story | religion | biblical | bible | dreamworks | slavery | animation | egypt,animation | biblical | animated | story | egypt,story | religion | biblical | bible | dreamworks | slavery | animation | egypt | animation | biblical | animated | story | egypt,True
2397,Mass Appeal (1984),catholicism,catholicism | mentor | gay | religion | original,catholicism | catholicism | mentor | gay | religion | original,True
2467,"Name of the Rose, The (Name der Rose, Der) (1986)",sean connery | medieval | monastery | religion | amateur detective | nudity (full frontal - notable) | nudity (topless) | eco,based on a book | adapted from:book | based on book | medieval | book,sean connery | medieval | monastery | religion | amateur detective | nudity (full frontal - notable) | nudity (topless) | eco | based on a book | adapted from:book | based on book | medieval | book,True
2483,"Day of the Beast, The (Día de la Bestia, El) (1995)",dark | satirical | end of the world | humorous | religion | stylized | campy | unlikely criminals,dark humor | dark | cult classic | spanish | macabre,dark | satirical | end of the world | humorous | religion | stylized | campy | unlikely criminals | dark humor | dark | cult classic | spanish | macabre,True
2494,"Last Days, The (1998)",holocaust | the shoah | historical | jewish holocaust | world war 2 | biography | true story | world war ii,holocaust | jews | nazis | world war ii | nazi,holocaust | the shoah | historical | jewish holocaust | world war 2 | biography | true story | world war ii | holocaust | jews | nazis | world war ii | nazi,True
2503,"Apple, The (Sib) (1998)",samira makhmalbaf | apple | twins | trapped or confined | social worker | saw (tool) | religion | overprotective parents,women | islam | criterion | iran | childhood,samira makhmalbaf | apple | twins | trapped or confined | social worker | saw (tool) | religion | overprotective parents | women | islam | criterion | iran | childhood,True
2577,Metroland (1997),christian bale | sexuality | based on a book | nudity (topless),midlife crisis | relationships | sexual | melancholic | adultery,christian bale | sexuality | based on a book | nudity (topless) | midlife crisis | relationships | sexual | melancholic | adultery,True
2590,Hideous Kinky (1998),nudity (topless) | road movie | road picture | nudity (topless - notable) | 100 essential female performances | road trip | tumey's dvds,nudity (topless - notable) | islam | cinematography | good soundtrack | culture clash,nudity (topless) | road movie | road picture | nudity (topless - notable) | 100 essential female performances | road trip | tumey's dvds | nudity (topless - notable) | islam | cinematography | good soundtrack | culture clash,True
2620,This Is My Father (1998),paul quinn | might like,irish | ireland | catholicism | storytelling | irish accent,paul quinn | might like | irish | ireland | catholicism | storytelling | irish accent,True
2662,"War of the Worlds, The (1953)",mars | religion | christianity | classic | aliens | alien invasion | classic monster | h.g. wells,sci fi | mars | scifi | science fiction | alien invasion,mars | religion | christianity | classic | aliens | alien invasion | classic monster | h.g. wells | sci fi | mars | scifi | science fiction | alien invasion,True
2697,My Son the Fanatic (1997),islam | england | muslim | om puri | rebellion | udayan prasad | immigrants | religion,islam | immigrants | solitude | character study | culture clash,islam | england | muslim | om puri | rebellion | udayan prasad | immigrants | religion | islam | immigrants | solitude | character study | culture clash,True
2736,Brighton Beach Memoirs (1986),adapted from b'way | based on a play | neil simon | jewish | betamax | comedy,based on a play | jewish | relationships | family | adaptation,adapted from b'way | based on a play | neil simon | jewish | betamax | comedy | based on a play | jewish | relationships | family | adaptation,True
2745,"Mission, The (1986)",colonialism | message | religion | christianity | priest | missionary | cinematography | massacre,oscar (best cinematography) | indians | golden palm | cinematography | latin america,colonialism | message | religion | christianity | priest | missionary | cinematography | massacre | oscar (best cinematography) | indians | golden palm | cinematography | latin america,True
2840,Stigmata (1999),jesus | christianity | thriller | controversial | religion | triller religion | stigmata | similar to sheitan,religion | jesus | christianity | god | catholicism,jesus | christianity | thriller | controversial | religion | triller religion | stigmata | similar to sheitan | religion | jesus | christianity | god | catholicism,True
2853,"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)",horror | mystery | serial killer | atmospheric | creepy | religion | setting:new jersey | vhs,creepy | horror | slasher | serial killer | police investigation,horror | mystery | serial killer | atmospheric | creepy | religion | setting:new jersey | vhs | creepy | horror | slasher | serial killer | police investigation,True
2904,Rain (1932),adapted from:book | adapted from:play | author:miss w. somerset maugham | death/fatality | protagonist is a priest | protagonist is a prostitute | rape | seealso:miss sadie thompson (1953),talky | based on a play | criterion | adapted from:book | silent,adapted from:book | adapted from:play | author:miss w. somerset maugham | death/fatality | protagonist is a priest | protagonist is a prostitute | rape | seealso:miss sadie thompson (1953) | talky | based on a play | criterion | adapted from:book | silent,True
2965,"Omega Code, The (1999)",christianity | vhs | robert marcarelli | based on a book | christian,christian | biblical | christianity | god | based on a book,christianity | vhs | robert marcarelli | based on a book | christian | christian | biblical | christianity | god | based on a book,True
2987,Who Framed Roger Rabbit? (1988),private detective | robert zemeckis | animation & live action interact | animation | christopher lloyd | cartoon-reality crossover | adventure | rabbits,cartoon | animation | rabbits | original | goofy,private detective | robert zemeckis | animation & live action interact | animation | christopher lloyd | cartoon-reality crossover | adventure | rabbits | cartoon | animation | rabbits | original | goofy,True
3003,Train of Life (Train de vie) (1998),world war ii | holocaust | train | trains,holocaust | jews | nazis | world war ii | jewish,world war ii | holocaust | train | trains | holocaust | jews | nazis | world war ii | jewish,True
3052,Dogma (1999),satire | kevin smith | religion | jay and silent bob | controversial | matt damon | comedy | jesus,view askew | jay and silent bob | god | catholicism | religion,satire | kevin smith | religion | jay and silent bob | controversial | matt damon | comedy | jesus | view askew | jay and silent bob | god | catholicism | religion,True
3053,"Messenger: The Story of Joan of Arc, The (1999)",biographical | milla jovovich | religion | mental illness | historical | history | luc besson | insanity,historical | france | history | god | religion,biographical | milla jovovich | religion | mental illness | historical | history | luc besson | insanity | historical | france | history | god | religion,True
3126,"End of the Affair, The (1955)",,god | catholicism | literature | talky | relationships, | god | catholicism | literature | talky | relationships,True
3179,Angela's Ashes (1999),adapted from:book | judaism | based on a book | catholicism | ireland | poverty | book | author:frank mccourt,adapted from:book | irish | ireland | based on a book | catholicism,adapted from:book | judaism | based on a book | catholicism | ireland | poverty | book | author:frank mccourt | adapted from:book | irish | ireland | based on a book | catholicism,True
3183,"Third Miracle, The (1999)",religion | ed harris | sleeper | reviewed,catholicism | religion | god | drama | redemption,religion | ed harris | sleeper | reviewed | catholicism | religion | god | drama | redemption,True
3241,"Cup, The (Phörpa) (1999)",soccer | buddhism | buddhist monks | khyentse norbu | ironic,soccer | storytelling | foreign | original | childhood,soccer | buddhism | buddhist monks | khyentse norbu | ironic | soccer | storytelling | foreign | original | childhood,True
3246,Malcolm X (1992),biographical | racism | denzel washington | islam | true story | biography | religion | bibliothek,islam | biographical | biopic | biography | segregation,biographical | racism | denzel washington | islam | true story | biography | religion | bibliothek | islam | biographical | biopic | biography | segregation,True
3247,Sister Act (1992),whoopi goldberg | nuns | choir | religion | maggie smith | bechdel test:pass | kathy najimy | vocalists,sisters | music | comedy | girlie movie | family,whoopi goldberg | nuns | choir | religion | maggie smith | bechdel test:pass | kathy najimy | vocalists | sisters | music | comedy | girlie movie | family,True
3248,Sister Act 2: Back in the Habit (1993),whoopi goldberg | nuns | musical | inspiring teacher | choir | highschool music teacher | christianity | lighthearted,sequels | good sequel | sequel | hip hop | music,whoopi goldberg | nuns | musical | inspiring teacher | choir | highschool music teacher | christianity | lighthearted | sequels | good sequel | sequel | hip hop | music,True
3251,Agnes of God (1985),religion | adapted from:play | stageplay | jane fonda | 3.5 | based on a play | catholicism | christianity,catholicism | drama | secrets | psychiatrist | mystery,religion | adapted from:play | stageplay | jane fonda | 3.5 | based on a play | catholicism | christianity | catholicism | drama | secrets | psychiatrist | mystery,True
3272,Bad Lieutenant (1992),harvey keitel | religion | drugs | police | police corruption | nudity (topless) | catholicism | heroin,drug addiction | drugs | drug abuse | controversial | catholicism,harvey keitel | religion | drugs | police | police corruption | nudity (topless) | catholicism | heroin | drug addiction | drugs | drug abuse | controversial | catholicism,True
3374,Daughters of the Dust (1991),1900s | african american | family | gullah | independent film | island | national film registry,island | women | dysfunctional family | lyrical | islam,1900s | african american | family | gullah | independent film | island | national film registry | island | women | dysfunctional family | lyrical | islam,True
3455,Buddy Boy (1999),catholicism | child abuse | christianity | nudity (topless) | religion | voyeurism | aidan gillen,,catholicism | child abuse | christianity | nudity (topless) | religion | voyeurism | aidan gillen | ,True
3456,"Color of Paradise, The (Rang-e khoda) (1999)",middle east | blindness | iran | majid majidi | iranian | disability | in netflix queue | divx,iran | islam | blindness | disability | beautifully filmed,middle east | blindness | iran | majid majidi | iranian | disability | in netflix queue | divx | iran | islam | blindness | disability | beautifully filmed,True
3469,Inherit the Wind (1960),courtroom drama | religion | evolution | spencer tracy | true story | great performances | fighting the system | earnest,dramatic | lawyers | imdb top 250 | courtroom | court,courtroom drama | religion | evolution | spencer tracy | true story | great performances | fighting the system | earnest | dramatic | lawyers | imdb top 250 | courtroom | court,True
3535,American Psycho (2000),psychology | christian bale | serial killer | insanity | violence | humorous | funny | psychological,serial killer | based on book | adapted from:book | based on a book | violence,psychology | christian bale | serial killer | insanity | violence | humorous | funny | psychological | serial killer | based on book | adapted from:book | based on a book | violence,True
3536,Keeping the Faith (2000),edward norton | religion | jenna elfman | ben stiller | interesting | narrated | priest | rabbi,romantic comedy | chick flick | romantic | comedy | good romantic comedies,edward norton | religion | jenna elfman | ben stiller | interesting | narrated | priest | rabbi | romantic comedy | chick flick | romantic | comedy | good romantic comedies,True
3538,East is East (1999),british | cultural clash | 1970s | adapted from:play | filmfour | homosexuality | immigrants | r,islam | british comedy | british | race issues | culture clash,british | cultural clash | 1970s | adapted from:play | filmfour | homosexuality | immigrants | r | islam | british comedy | british | race issues | culture clash,True
